accountsservice-ubuntu-schemas
language-pack-en-base
language-pack-en
language-pack-gnome-en-base
language-pack-gnome-en
language-selector-common
language-selector-gnome
laptop-detect
less
libaa1
libaccounts-glib0
libaccountsservice0
libacl1
libapparmor1
libappindicator3-1
libappstream4
libapt-pkg6.0
libarchive13
libargon2-1
libasn1-8-heimdal
libasound2-data
libasound2-plugins
libasound2
libaspell15
libassuan0
libasyncns0
libatasmart4
libatk-bridge2.0-0
libatk1.0-0
libatk1.0-data
libatm1
libatspi2.0-0
libattr1
libaudit-common
libaudit1
libauthen-sasl-perl
libavahi-client3
libavahi-common-data
libavahi-common3
libavahi-core7
libavahi-glib1
libavc1394-0
libbamf3-2
libblkid1
libblockdev-crypto2
libblockdev-fs2
libblockdev-loop2
libblockdev-part-err2
libblockdev-part2
libblockdev-swap2
libblockdev-utils2
libblockdev2
libbluetooth3
libboost-thread1.71.0
libbrotli1
libbsd0
libbz2-1.0
libc-bin
libc6
libcaca0
libcairo-gobject2
libcairo2
libcamel-1.2-62
libcanberra-gtk3-0
libcanberra-gtk3-module
libcanberra-pulse
libcanberra0
libcap-ng0
libcap2-bin
libcap2
libcaribou-common
libcaribou0
libcbor0.6
libcdio-cdda2
libcdio-paranoia2
libcdio18
libcdparanoia0
libcheese-gtk25
libcheese8
libcinnamon-control-center1
libcinnamon-desktop4
libcinnamon-menu-3-0
libcjs0
libclutter-1.0-0
libclutter-1.0-common
libclutter-gst-3.0-0
libclutter-gtk-1.0-0
libcogl-common
libcogl-pango20
libcogl-path20
libcogl20
libcolord-gtk1
libcolord2
libcolorhug2
libcom-err2
libcrack2
libcroco3
libcrypt1
libcryptsetup12
libcscreensaver0
libcups2
libcupsfilters1
libcurl3-gnutls
libcvc0
libdaemon0
libdata-dump-perl
libdatrie1
libdb5.3
libdbus-1-3
libdbus-glib-1-2
libdbusmenu-glib4
libdbusmenu-gtk3-4
libdconf1
libdebconfclient0
libdevmapper1.02.1
libdns-export1109
libdrm-amdgpu1
libdrm-common
libdrm-intel1
libdrm-nouveau2
libdrm-radeon1
libdrm2
libdv4
libebackend-1.2-10
libebook-1.2-20
libebook-contacts-1.2-3
libecal-2.0-1
libedata-book-1.2-26
libedata-cal-2.0-1
libedataserver-1.2-24
libedataserverui-1.2-2
libedit2
libefiboot1
libefivar1
libegl-mesa0
libegl1
libelf1
libenchant-2-2
libencode-locale-perl
libepoxy0
libestr0
libevdev2
libexempi8
libexif12
libexpat1
libext2fs2
libfastjson4
libfcitx-config4
libfcitx-gclient1
libfcitx-utils0
libfdisk1
libffi7
libfido2-1
libfile-basedir-perl
libfile-desktopentry-perl
libfile-listing-perl
libfile-mimeinfo-perl
libflac8
libfont-afm-perl
libfontconfig1
libfontembed1
libfontenc1
libfreetype6
libfribidi0
libfuse2
libgail-3-0
libgail-common
libgail18
libgbm1
libgcc-s1
libgck-1-0
libgcr-base-3-1
libgcr-ui-3-1
libgcrypt20
libgd3
libgdata-common
libgdata22
libgdbm-compat4
libgdbm6
libgdk-pixbuf2.0-0
libgdk-pixbuf2.0-bin
libgdk-pixbuf2.0-common
libgee-0.8-2
libgeoclue-2-0
libgeocode-glib0
libgirepository-1.0-1
libgl1-mesa-dri
libgl1
libglapi-mesa
libglib2.0-0
libglib2.0-bin
libglib2.0-data
libglvnd0
libglx-mesa0
libglx0
libgmp10
libgnome-bluetooth13
libgnome-desktop-3-19
libgnome-panel0
libgnomekbd-common
libgnomekbd8
libgnutls30
libgoa-1.0-0b
libgoa-1.0-common
libgoa-backend-1.0-1
libgomp1
libgpg-error0
libgpgme11
libgphoto2-6
libgphoto2-l10n
libgphoto2-port12
libgpm2
libgraphene-1.0-0
libgraphite2-3
libgs9-common
libgs9
libgsound0
libgssapi-krb5-2
libgssapi3-heimdal
libgssdp-1.2-0
libgstreamer-gl1.0-0
libgstreamer-plugins-base1.0-0
libgstreamer-plugins-good1.0-0
libgstreamer1.0-0
libgtk-3-0
libgtk-3-bin
libgtk-3-common
libgtk2.0-0
libgtk2.0-bin
libgtk2.0-common
libgtop-2.0-11
libgtop2-common
libgudev-1.0-0
libgupnp-1.2-0
libgupnp-av-1.0-2
libgupnp-dlna-2.0-3
libgusb2
libgweather-3-16
libgweather-common
libharfbuzz-icu0
libharfbuzz0b
libhcrypto4-heimdal
libheimbase1-heimdal
libheimntlm0-heimdal
libhogweed5
libhtml-form-perl
libhtml-format-perl
libhtml-parser-perl
libhtml-tagset-perl
libhtml-tree-perl
libhttp-cookies-perl
libhttp-daemon-perl
libhttp-date-perl
libhttp-message-perl
libhttp-negotiate-perl
libhunspell-1.7-0
libhx509-5-heimdal
libhyphen0
libibus-1.0-5
libical3
libice6
libicu66
libidn11
libidn2-0
libido3-0.1-0
libiec61883-0
libieee1284-3
libijs-0.35
libimagequant0
libimobiledevice6
libindicator3-7
libinput-bin
libinput10
libio-html-perl
libio-socket-ssl-perl
libio-stringy-perl
libip4tc2
libip6tc2
libipc-system-simple-perl
libisc-export1105
libisl22
libjack-jackd2-0
libjansson4
libjavascriptcoregtk-4.0-18
libjbig0
libjbig2dec0
libjpeg-turbo8
libjpeg8
libjs-jquery
libjson-c4
libjson-glib-1.0-0
libjson-glib-1.0-common
libk5crypto3
libkeybinder-3.0-0
libkeyutils1
libklibc
libkmod2
libkrb5-26-heimdal
libkrb5-3
libkrb5support0
libksba8
liblcms2-2
libldap-2.4-2
libldap-common
libldb2
liblightdm-gobject-1-0
libllvm9
liblmdb0
liblocale-gettext-perl
liblouis-data
liblouis20
liblouisutdml-bin
liblouisutdml-data
liblouisutdml9
libltdl7
liblwp-mediatypes-perl
liblwp-protocol-https-perl
liblz4-1
liblzma5
libmagic-mgc
libmagic1
libmailtools-perl
libmaxminddb0
libmbim-glib4
libmbim-proxy
libmediaart-2.0-0
libmessaging-menu0
libmm-glib0
libmnl0
libmount1
libmozjs-52-0
libmp3lame0
libmpc3
libmpdec2
libmpfr6
libmpg123-0
libmtdev1
libmtp-common
libmtp-runtime
libmtp9
libmuffin0
libmysqlclient21
libnautilus-extension1a
libncurses6
libncursesw6
libndp0
libnemo-extension1
libnet-dbus-perl
libnet-http-perl
libnet-smtp-ssl-perl
libnet-ssleay-perl
libnetfilter-conntrack3
libnetplan0
libnettle7
libnewt0.52
libnfnetlink0
libnfs13
libnftnl11
libnghttp2-14
libnl-3-200
libnl-genl-3-200
libnl-route-3-200
libnm0
libnma0
libnotify4
libnpth0
libnspr4
libnss-mdns
libnss-systemd
libnss3
libntfs-3g883
libnuma1
libogg0
libopenjp2-7
libopus0
liborc-0.4-0
libp11-kit0
libpackagekit-glib2-18
libpam-cap
libpam-gnome-keyring
libpam-modules-bin
libpam-modules
libpam-runtime
libpam-systemd
libpam0g
libpango-1.0-0
libpangocairo-1.0-0
libpangoft2-1.0-0
libpangoxft-1.0-0
libpaper-utils
libpaper1
libparted-fs-resize0
libparted2
libpcap0.8
libpci3
libpciaccess0
libpcre2-8-0
libpcre3
libpcsclite1
libperl5.30
libphonenumber7
libpipeline1
libpixman-1-0
libplist3
libplymouth5
libpng16-16
libpolkit-agent-1-0
libpolkit-gobject-1-0
libpoppler-cpp0v5
libpoppler97
libpopt0
libprocps8
libprotobuf17
libproxy1v5
libpsl5
libpulse-mainloop-glib0
libpulse0
libpulsedsp
libpwquality-common
libpwquality1
libpython3-stdlib
libpython3.8-minimal
libpython3.8-stdlib
libpython3.8
libqmi-glib5
libqmi-proxy
libqpdf26
libraw1394-11
libreadline8
librest-0.7-0
libroken18-heimdal
librsvg2-2
librsvg2-common
librtmp1
libruby2.7
librygel-core-2.6-2
librygel-db-2.6-2
librygel-renderer-2.6-2
librygel-server-2.6-2
libsamplerate0
libsane-common
libsane
libsasl2-2
libsasl2-modules-db
libsasl2-modules
libsbc1
libseccomp2
libsecret-1-0
libsecret-common
libselinux1
libsemanage-common
libsemanage1
libsensors-config
libsensors5
libsepol1
libshout3
libslang2
libsm6
libsmartcols1
libsmbclient
libsnapd-glib1
libsndfile1
libsnmp-base
libsnmp35
libsodium23
libsoup-gnome2.4-1
libsoup2.4-1
libsoxr0
libspeex1
libspeexdsp1
libsqlite3-0
libss2
libssh-4
libssl1.1
libstartup-notification0
libstdc++6
libstemmer0d
libsystemd0
libtag1v5-vanilla
libtag1v5
libtalloc2
libtasn1-6
libtdb1
libteamdctl0
libtevent0
libtext-charwidth-perl
libtext-iconv-perl
libtext-wrapi18n-perl
libthai-data
libthai0
libtheora0
libtie-ixhash-perl
libtiff5
libtimedate-perl
libtimezonemap-data
libtimezonemap1
libtinfo6
libtry-tiny-perl
libtwolame0
libuchardet0
libudev1
libudisks2-0
libunistring2
libunity-gtk2-parser0
libunity-gtk3-parser0
libunity-settings-daemon1
libunwind8
libupower-glib3
liburi-perl
liburl-dispatcher1
libusb-1.0-0
libusbmuxd6
libuuid1
libuv1
libv4l-0
libv4lconvert0
libvisual-0.4-0
libvolume-key1
libvorbis0a
libvorbisenc2
libvorbisfile3
libvpx6
libvte-2.91-0
libvte-2.91-common
libvulkan1
libwacom-bin
libwacom-common
libwacom2
libwavpack1
libwayland-client0
libwayland-cursor0
libwayland-egl1
libwayland-server0
libwbclient0
libwebkit2gtk-4.0-37
libwebp6
libwebpdemux2
libwebpmux3
libwebrtc-audio-processing1
libwhoopsie-preferences0
libwhoopsie0
libwind0-heimdal
libwoff1
libwrap0
libwww-perl
libwww-robotrules-perl
libx11-6
libx11-data
libx11-protocol-perl
libx11-xcb1
libxapp1
libxatracker2
libxau6
libxaw7
libxcb-dri2-0
libxcb-dri3-0
libxcb-glx0
libxcb-present0
libxcb-randr0
libxcb-render0
libxcb-shape0
libxcb-shm0
libxcb-sync1
libxcb-util1
libxcb-xfixes0
libxcb1
libxcomposite1
libxcursor1
libxdamage1
libxdmcp6
libxext6
libxfixes3
libxfont2
libxft2
libxi6
libxinerama1
libxkbcommon0
libxkbfile1
libxklavier16
libxml-parser-perl
libxml-twig-perl
libxml-xpathengine-perl
libxml2
libxmu6
libxmuu1
libxpm4
libxrandr2
libxrender1
libxshmfence1
libxslt1.1
libxss1
libxt6
libxtables12
libxtst6
libxv1
libxvmc1
libxxf86dga1
libxxf86vm1
libyaml-0-2
libyelp0
libzstd1
lightdm
linux-base
linux-firmware
linux-generic
linux-headers-5.4.0-26-generic
linux-headers-5.4.0-26
linux-headers-generic
linux-image-5.4.0-26-generic
linux-image-generic
linux-modules-5.4.0-26-generic
linux-modules-extra-5.4.0-26-generic
lm-sensors
locales
login
logrotate
logsave
lsb-base
lsb-release
lshw
lsof
ltrace
lz4
man-db
manpages
mawk
mesa-utils
mesa-vulkan-drivers
metacity-common
mime-support
mobile-broadband-provider-info
modemmanager
mount
mousetweaks
mtr-tiny
muffin-common
muffin
mysql-common
nano
nautilus-data
nautilus-extension-gnome-terminal
ncurses-base
ncurses-bin
nemo-data
nemo-fileroller
nemo
netbase
netcat-openbsd
netplan.io
network-manager-gnome
network-manager-pptp
network-manager
networkd-dispatcher
ntfs-3g
openssh-client
openssl
os-prober
p11-kit-modules
p11-kit
packagekit-tools
packagekit
parted
passwd
pci.ids
pciutils
perl-base
perl-modules-5.30
perl-openssl-defaults
perl
pinentry-gnome3
plymouth-theme-ubuntu-text
plymouth
policykit-1-gnome
policykit-1
poppler-data
poppler-utils
popularity-contest
powermgmt-base
ppp
pptp-linux
procps
psmisc
publicsuffix
pulseaudio-module-bluetooth
pulseaudio-utils
pulseaudio
python-apt-common
python3-apport
python3-apt
python3-aptdaemon.gtk3widgets
python3-aptdaemon
python3-blinker
python3-cairo
python3-certifi
python3-cffi-backend
python3-chardet
python3-commandnotfound
python3-cryptography
python3-cups
python3-cupshelpers
python3-dbus
python3-defer
python3-distro-info
python3-distro
python3-distupgrade
python3-entrypoints
python3-gdbm
python3-gi-cairo
python3-gi
python3-httplib2
python3-ibus-1.0
python3-idna
python3-jwt
python3-keyring
python3-launchpadlib
python3-lazr.restfulclient
python3-lazr.uri
python3-macaroonbakery
python3-minimal
python3-nacl
python3-netifaces
python3-oauthlib
python3-olefile
python3-pampy
python3-pexpect
python3-pil
python3-pkg-resources
python3-problem-report
python3-protobuf
python3-psutil
python3-ptyprocess
python3-pyinotify
python3-pymacaroons
python3-requests-unixsocket
python3-requests
python3-rfc3339
python3-secretstorage
python3-setproctitle
python3-simplejson
python3-six
python3-systemd
python3-talloc
python3-tinycss
python3-tz
python3-update-manager
python3-urllib3
python3-wadllib
python3-xapp
python3-xdg
python3-xlib
python3-yaml
python3.8-minimal
python3.8
python3
rake
readline-common
rsync
rsyslog
rtkit
ruby-json
ruby-minitest
ruby-net-telnet
ruby-power-assert
ruby-test-unit
ruby-xmlrpc
ruby2.7
ruby
rubygems-integration
rygel
samba-libs
sane-utils
sed
sensible-utils
session-migration
sgml-base
sgml-data
shared-mime-info
sound-theme-freedesktop
ssl-cert
strace
sudo
system-config-printer-common
system-config-printer-udev
system-config-printer
systemd-sysv
systemd-timesyncd
systemd
sysvinit-utils
tar
tasksel-data
tasksel
tcpdump
telnet
time
tree
tzdata
ubuntu-advantage-tools
ubuntu-docs
ubuntu-keyring
ubuntu-minimal
ubuntu-mono
ubuntu-release-upgrader-core
ubuntu-standard
ubuntu-touch-sounds
ucf
udev
udisks2
ufw
unity-greeter
unity-gtk-module-common
unity-gtk2-module
unity-gtk3-module
unity-settings-daemon-schemas
unity-settings-daemon
unzip
update-inetd
update-manager-core
upower
usb-modeswitch-data
usb-modeswitch
usb.ids
usbmuxd
usbutils
util-linux
uuid-runtime
vim-common
vim-tiny
wamerican
wbritish
wget
whiptail
whoopsie-preferences
wireless-regdb
wpasupplicant
x11-common
x11-utils
x11-xkb-utils
x11-xserver-utils
xapps-common
xauth
xdg-dbus-proxy
xdg-user-dirs
xdg-utils
xfonts-base
xfonts-encodings
xfonts-utils
xkb-data
xml-core
xserver-common
xserver-xorg-core
xserver-xorg-input-all
xserver-xorg-input-libinput
xserver-xorg-input-wacom
xserver-xorg-legacy
xserver-xorg-video-all
xserver-xorg-video-amdgpu
xserver-xorg-video-ati
xserver-xorg-video-fbdev
xserver-xorg-video-intel
xserver-xorg-video-nouveau
xserver-xorg-video-qxl
xserver-xorg-video-radeon
xserver-xorg-video-vesa
xserver-xorg-video-vmware
xserver-xorg
xxd
xz-utils
yelp-xsl
yelp
zenity-common
zenity
zip
zlib1g
